old,new,notes
/,/index.html,To fix the index.html problem.
DNN8-Whats-New.html,administrators/whats-new-dnn.html,"Problems with infinite loop in web.config rules if the filenames are the same, case-insensitive."
Overview-DNN-Platform.html,administrators/dnn-overview.html,"Problems with infinite loop in web.config rules if the filenames are the same, case-insensitive."
DNN8-Requirements.html,administrators/requirements.html,"Problems with infinite loop in web.config rules if the filenames are the same, case-insensitive."
admin/GettingStarted/Install-Extensions.html,administrators/extensions/install-extension.html,
admin/Glossary.html,administrators/glossary.html,
admin/index.html,administrators/index.html,
admin/GettingStarted/Getting-Started.html,administrators/setup/index.html,
admin/GettingStarted/Setup/Run-Install-Wizard.html,administrators/setup/run-installation-wizard.html,
admin/GettingStarted/Setup/Set-Up-DNN-Folder.html,administrators/setup/set-up-dnn-folder.html,
admin/GettingStarted/Set-Up-DNN.html,administrators/setup/set-up-dnn.html,
admin/GettingStarted/Setup/Set-Up-IIS.html,administrators/setup/set-up-iis.html,
admin/GettingStarted/Setup/Set-Up-SQL-Server.html,administrators/setup/set-up-sql.html,
admin/UserGuide/User-Guides.html,http://www.dnnsoftware.com/community/download/manuals,external
design/HowTo/CreatingThemes/Create-Container.html,designers/creating-themes/create-container.html,
design/HowTo/CreatingThemes/Create-CSS.html,designers/creating-themes/create-css.html,
design/HowTo/CreatingThemes/Create-Doctype.html,designers/creating-themes/create-doctype-xml.html,
design/HowTo/CreatingThemes/Create-Layout-Template.html,designers/creating-themes/create-layout-template.html,
design/HowTo/CreatingThemes/Creating-Themes.html,designers/creating-themes/create-theme.html,
design/HowTo/How-To.html,designers/creating-themes/index.html,
design/HowTo/PackagingThemes/Dnn-Manifest.html,designers/extensions/dnn-manifest-schema.html,
design/HowTo/PackagingThemes/Packaging-Themes.html,designers/extensions/index.html,
design/GettingStarted/Install-Extensions.html,designers/extensions/install-extension.html,
design/HowTo/PackagingThemes/Creating-Package.html,designers/extensions/pack-extension.html,
design/Glossary.html,designers/glossary.html,
design/index.html,designers/index.html,
design/GettingStarted/Getting-Started.html,designers/setup/index.html,
design/GettingStarted/Setup/Run-Install-Wizard.html,designers/setup/run-installation-wizard.html,
design/GettingStarted/Setup/Set-Up-DNN-Folder.html,designers/setup/set-up-dnn-folder.html,
design/GettingStarted/Set-Up-DNN.html,designers/setup/set-up-dnn.html,
design/GettingStarted/Setup/Set-Up-IIS.html,designers/setup/set-up-iis.html,
design/GettingStarted/Setup/Set-Up-SQL-Server.html,designers/setup/set-up-sql.html,
design/Theme-Objects.html,designers/theme-objects.html,
design/Style-Guide.html,http://uxguide.dnnsoftware.com/,external
design/HowTo/CreatingThemes/Test-Html-Layout.html,designers/creating-themes/index.html,point to index.html
dev/Concepts/Concepts.html,developers/about-modules/index.html,
dev/Concepts/ModuleDevelopment/Module-Architecture.html,developers/about-modules/module-architecture.html,
dev/Concepts/ModuleDevelopment/Develop-Modules.html,developers/about-modules/module-development.html,
dev/Concepts/ModuleDevelopment/Module-Features.html,developers/about-modules/module-features.html,
dev/Concepts/ModuleDevelopment/MVC-Module-Development.html,developers/mvc-modules/mvc-module-development.html,new MVC folder for 9.0
dev/Concepts/ModuleDevelopment/SPA-Module-Development.html,developers/about-modules/spa-module-development.html,
dev/Concepts/ModuleDevelopment/Unsupported-MVC-Features.html,developers/about-modules/unsupported-mvc-features.html,
dev/Concepts/ModuleDevelopment/Web-Forms-Module-Development.html,developers/about-modules/web-forms-module-development.html,
dev/HowTo/CreatingModules/Creating-Modules.html,developers/creating-modules/create-module-using-templates.html,
dev/HowTo/CreatingModules/Module-Templates.html,developers/creating-modules/create-module.html,
dev/HowTo/How-To.html,developers/creating-modules/index.html,
dev/HowTo/CreatingModules/Using-The-Module-Creator.html,developers/creating-modules/use-module-creator.html,
dev/HowTo/PackagingExtensions/Dnn-Manifest.html,developers/extensions/dnn-manifest-schema.html,
dev/HowTo/PackagingExtensions/Packaging-Extensions.html,developers/extensions/index.html,
dev/GettingStarted/Install-Extensions.html,developers/extensions/install-extension.html,
dev/HowTo/PackagingExtensions/Creating-Package.html,developers/extensions/pack-extension.html,
dev/Glossary.html,developers/glossary.html,
dev/index.html,developers/index.html,
dev/GettingStarted/Getting-Started.html,developers/setup/index.html,
dev/GettingStarted/Setup/Run-Install-Wizard.html,developers/setup/run-installation-wizard.html,
dev/GettingStarted/Setup/Set-Up-DNN-Folder.html,developers/setup/set-up-dnn-folder.html,
dev/GettingStarted/Set-Up-DNN.html,developers/setup/set-up-dnn.html,
dev/GettingStarted/Setup/Set-Up-IIS.html,developers/setup/set-up-iis.html,
dev/GettingStarted/Setup/Set-Up-SQL-Server.html,developers/setup/set-up-sql.html,
dev/API.html,http://www.dnnsoftware.com/dnn-api/,external
administrators/securing-your-site,administrators/security,directory rename
content-managers/securing-your-site,content-managers/security,directory rename
developers/securing-your-site,developers/security,directory rename
designers/securing-your-site,designers/security,directory rename
community-managers/securing-your-site,community-managers/security,directory rename
administrators/release-notes,administrators/whats-new-dnn.html,directory rename
administrators/release-notes/,administrators/whats-new-dnn.html,directory rename
content-managers/release-notes,content-managers/whats-new-dnn.html,directory rename
content-managers/release-notes/,content-managers/whats-new-dnn.html,directory rename
developers/release-notes,developers/whats-new-dnn.html,directory rename
developers/release-notes/,developers/whats-new-dnn.html,directory rename
designers/release-notes,designers/whats-new-dnn.html,directory rename
designers/release-notes/,designers/whats-new-dnn.html,directory rename
community-managers/release-notes,community-managers/whats-new-dnn.html,directory rename
community-managers/release-notes/,community-managers/whats-new-dnn.html,directory rename
