menu1,menu2,left1,top1,left2,top2
Logo,,2,25,,
Logo,Product Version,2,25,83,0
Logo,Documentation,2,25,83,75
Logo,Contact Support,2,25,83,150
Logo,Feedback,2,25,83,237
Logo,Logout,2,25,83,289
Dashboard,,2,75,,
Dashboard,Cloud Site Analytics,2,75,83,123
Content,,2,143.75,,
Content,Assets,2,143.75,83,193
Content,Pages,2,143.75,83,230
Content,Forms,2,143.75,83,267
Content,Content Items,2,143.75,83,304
Content,Recycle Bin,2,143.75,83,341
Manage,,2,212.5,,
Manage,Users,2,212.5,83,250
Manage,Roles,2,212.5,83,290
Manage,Templates,2,212.5,83,330
Analytics,,2,281.25,,
Analytics,Current Page,2,281.25,83,315
Analytics,Total Page Views,2,281.25,83,355
Analytics,Average Time on Page,2,281.25,83,395
Analytics,Bounce Rate,2,281.25,83,435
Settings,,2,350,,
Settings,Workflow,2,350,83,397
Settings,Connectors,2,350,83,434
