menu1,menu2,left1,top1,left2,top2
Logo,,2,25,,
Logo,Product Version,2,25,83,0
Logo,.NET Framework,2,25,83,75
Logo,Server Name,2,25,83,150
Logo,License Key,2,25,83,237
Logo,Documentation,2,25,83,289
Logo,Contact Support,2,25,83,328
Logo,Feedback,2,25,83,367
Logo,Logout,2,25,83,406
Dashboard,,2,75,,
Dashboard,Site Analytics,2,75,83,123
Dashboard,Community Analytics,2,75,83,161
Content,,2,143.75,,
Content,Assets,2,143.75,83,193
Content,Pages,2,143.75,83,230
Content,Forms,2,143.75,83,267
Content,Content Items,2,143.75,83,304
Content,Recycle Bin,2,143.75,83,341
Manage,,2,212.5,,
Manage,Users,2,212.5,83,250
Manage,Roles,2,212.5,83,290
Manage,Templates,2,212.5,83,330
Manage,Themes,2,212.5,83,370
Manage,Sites ,2,212.5,83,410
Manage,Admin Logs,2,212.5,83,450
Analytics,,2,281.25,,
Analytics,Current Page,2,281.25,83,315
Analytics,Total Page Views,2,281.25,83,355
Analytics,Average Time on Page,2,281.25,83,395
Analytics,Bounce Rate,2,281.25,83,435
Analytics,Page Analytics,2,281.25,83,475
Settings,,2,350,,
Settings,Site Settings,2,350,83,397
Settings,Security,2,350,83,434
Settings,Workflow,2,350,83,471
Settings,SEO,2,350,83,508
Settings,Community,2,350,83,545
Settings,Gamification,2,350,83,582
Settings,Vocabularies,2,350,83,619
Settings,Connectors,2,350,83,656
Settings,Extensions,2,350,247,397
Settings,Servers,2,350,247,434
Settings,Scheduler,2,350,247,471
Settings,Custom CSS,2,350,247,508
Settings,SQL Console,2,350,247,545
Settings,Config Manager,2,350,247,582
Settings,OnDemand,2,350,247,619
Settings,About,2,350,247,656
