menu1,menu2,left1,top1,left2,top2
Logo,,2,25,,
Logo,Product Version,2,25,83,0
Logo,Documentation,2,25,83,75
Logo,Contact Support,2,25,83,150
Logo,Feedback,2,25,83,237
Logo,Logout,2,25,83,289
Dashboard,,2,75,,
Dashboard,Cloud Site Analytics,2,75,83,123
Dashboard,Community Analytics,2,75,83,161
Content,,2,143.75,,
Content,Assets,2,143.75,83,193
Manage,,2,212.5,,
Manage,Users,2,212.5,83,250
Manage,Templates,2,212.5,83,290
Analytics,,2,281.25,,
Analytics,Current Page,2,281.25,83,315
Analytics,Total Page Views,2,281.25,83,355
Analytics,Average Time on Page,2,281.25,83,395
Analytics,Bounce Rate,2,281.25,83,435
Settings,,2,350,,
Settings,Community,2,350,83,397
Settings,Gamification,2,350,83,434
Settings,Connectors,2,350,83,471
