menu1,menu2,left1,top1,left2,top2,hori,vert,left1pc,top1pc,left2pc,top2pc
Logo,,2,25,,,453,783,0.441501104,3.19284802,,
Logo,Product Version,2,25,83,0,453,783,0.441501104,3.19284802,18.32229581,0
Logo,Documentation,2,25,83,75,453,783,0.441501104,3.19284802,18.32229581,9.578544061
Logo,Customer Portal,2,25,83,150,453,783,0.441501104,3.19284802,18.32229581,19.15708812
Logo,Contact Support,2,25,83,237,453,783,0.441501104,3.19284802,18.32229581,30.26819923
Logo,Logout,2,25,83,289,453,783,0.441501104,3.19284802,18.32229581,36.90932312
Dashboard,,2,75,,,453,783,0.441501104,9.578544061,,
Dashboard,Site Analytics,2,75,83,123,453,783,0.441501104,9.578544061,18.32229581,15.70881226
Content,,2,143.75,,,453,783,0.441501104,18.35887612,,
Content,Assets,2,143.75,83,193,453,783,0.441501104,18.35887612,18.32229581,24.64878672
Content,Pages,2,143.75,83,230,453,783,0.441501104,18.35887612,18.32229581,29.37420179
Content,Forms,2,143.75,83,267,453,783,0.441501104,18.35887612,18.32229581,34.09961686
Content,Content Library,2,143.75,83,304,453,783,0.441501104,18.35887612,18.32229581,38.82503193
Content,Recycle Bin,2,143.75,83,341,453,783,0.441501104,18.35887612,18.32229581,43.550447
Manage,,2,212.5,,,453,783,0.441501104,27.13920817,,
Manage,Users,2,212.5,83,250,453,783,0.441501104,27.13920817,18.32229581,31.9284802
Manage,Templates,2,212.5,83,290,453,783,0.441501104,27.13920817,18.32229581,37.03703704
Page Analytics,,2,281.25,,,453,783,0.441501104,35.91954023,,
Page Analytics,Current Page,2,281.25,83,315,453,783,0.441501104,35.91954023,18.32229581,40.22988506
Page Analytics,Total Page Views,2,281.25,83,355,453,783,0.441501104,35.91954023,18.32229581,45.33844189
Page Analytics,Average Time on Page,2,281.25,83,395,453,783,0.441501104,35.91954023,18.32229581,50.44699872
Page Analytics,Bounce Rate,2,281.25,83,435,453,783,0.441501104,35.91954023,18.32229581,55.55555556
Settings,,2,350,,,453,783,0.441501104,44.69987229,,
Settings,Workflow,2,350,83,397,453,783,0.441501104,44.69987229,18.32229581,50.70242656
Settings,Connectors,2,350,83,434,453,783,0.441501104,44.69987229,18.32229581,55.42784163
