menu1,menu2,tab1,tab2,host,adm,cmg,mod,notes
Logo,Product Version,,,,,,,
Logo,.NET Framework,,,,,,,
Logo,Server Name,,,,,,,
Logo,License Key,,,,,,,
Logo,Documentation,,,,,,,
Logo,Contact Support,,,,,,,
Logo,Feedback,,,,,,,
Logo,Logout,,,,,,,
Dashboard,Site Analytics,Summary,,all,all,all,all,
Dashboard,Site Analytics,Conversions,,all,all,all,all,
Dashboard,Site Analytics,Traffic,,all,all,all,all,
Dashboard,Community Analytics,Answers,,all,all,,all,
Dashboard,Community Analytics,Blogs,,all,all,,all,
Dashboard,Community Analytics,Challenges,,all,all,,all,
Dashboard,Community Analytics,Discussions,,all,all,,all,
Dashboard,Community Analytics,Events,,all,all,,all,
Dashboard,Community Analytics,Ideas,,all,all,,all,
Dashboard,Community Analytics,Wiki,,all,all,,all,
Content,Assets,,,host,adm,cmg,mod,
Content,Pages,,,host,adm,cmg,,
Content,Forms,,,host,adm,cmg,,
Content,Content Items,Content,,all,all,all,,
Content,Content Items,Content Types,,all,all,all,,
Content,Content Items,Visualizers,,all,all,all,,
Content,Recycle Bin,Pages,,all,all,all,,
Content,Recycle Bin,Modules,,all,all,all,,
Content,Recycle Bin,Templates,,all,all,all,,
Manage,Users,,,host,adm,cmg,mod,
Manage,Roles,,,host,adm,,,
Manage,Templates,,,host,adm,cmg,mod,
Manage,Themes,,,host,adm,,,
Manage,Sites ,Sites,,host,,,,
Manage,Sites ,Site Groups,,host,,,,
Manage,Admin Logs,Admin Logs,,host,adm,,,
Manage,Admin Logs,Log Settings,,host,,,,
Analytics,Current Page,,,host,adm,cmg,mod,
Analytics,Total Page Views,,,host,adm,cmg,mod,
Analytics,Average Time on Page,,,host,adm,cmg,mod,
Analytics,Bounce Rate,,,host,adm,cmg,mod,
Analytics,Page Analytics,,,host,adm,cmg,mod,
Settings,Site Settings,Site Info,,all,all,,,
Settings,Site Settings,Site Behavior,Default Pages,host,adm,,,
Settings,Site Settings,Site Behavior,Messaging,host,adm,,,
Settings,Site Settings,Site Behavior,User Profiles,host,adm,,,
Settings,Site Settings,Site Behavior,Site Aliases,host,,,,
Settings,Site Settings,Site Behavior,More,host,,,,
Settings,Site Settings,Language,,host,adm,,,
Settings,Site Settings,Search,Basic Settings,host,adm,,,
Settings,Site Settings,Search,Synonyms,all,all,,,
Settings,Site Settings,Search,Ignore Words,all,all,,,
Settings,Site Settings,Search,Crawling,all,all,,,
Settings,Site Settings,Search,File Extensions,all,all,,,
Settings,Security,Login Settings,Basic Login Settings,host,adm,,,
Settings,Security,Login Settings,Login IP Filters,host,,,,
Settings,Security,Member Accounts,Member Management,host,,,,
Settings,Security,Member Accounts,Registration Settings,host,adm,,,
Settings,Security,Security Analyzer,Audit Checks,host,,,,
Settings,Security,Security Analyzer,Scanner Check,host,,,,
Settings,Security,Security Analyzer,Superuser Activity,host,,,,
Settings,Security,Security Bulletins,,host,,,,
Settings,Security,More,SSL Settings,host,adm,,,
Settings,Security,More,More Security Settings,host,,,,
Settings,Workflow,,,host,adm,cmg,,
Settings,SEO,URL Management,General Settings,host,adm,,,
Settings,SEO,URL Management,Expressions,host,,,,
Settings,SEO,URL Management,Test URL,host,adm,,,
Settings,SEO,Sitemap Settings,,host,adm,,,
Settings,Community,,,host,adm,,mod,
Settings,Gamification,Actions,,all,all,,all,
Settings,Gamification,Privileges,,all,all,,all,
Settings,Gamification,Badges,,all,all,,all,
Settings,Vocabularies,All,Tags,host,adm,,,
Settings,Vocabularies,All,Module_Categories,host,adm,,,
Settings,Vocabularies,All,Test,host,adm,,,
Settings,Vocabularies,Global,Tags,host,adm,,,
Settings,Vocabularies,Global,Module_Categories,host,adm,,,
Settings,Vocabularies,Website,Test,host,adm,,,
Settings,Connectors,,,host,adm,cmg,mod,
Settings,Extensions,,,,adm,,,
Settings,Extensions,Installed Extensions,,host,,,,
Settings,Extensions,Available Extensions,,host,,,,
Settings,Servers,System Info,Application,host,adm,,,
Settings,Servers,System Info,Web,host,,,,
Settings,Servers,System Info,Database,host,,,,
Settings,Servers,Server Settings,Web Servers,host,,,,
Settings,Servers,Server Settings,SMTP Server,host,adm,,,
Settings,Servers,Server Settings,Performance,host,,,,
Settings,Servers,Server Settings,Logs,host,,,,
Settings,Scheduler,Task Queue,,host,,,,
Settings,Scheduler,Scheduler,,host,,,,
Settings,Scheduler,History,,host,,,,
Settings,Custom CSS,,,host,adm,,,
Settings,SQL Console,,,host,,,,
Settings,Config Manager,Config Files,,host,,,,
Settings,Config Manager,Merge Scripts,,host,,,,
Settings,About,,,host,,,,
