menu1,menu2,tab1,tab2,host,adm,cmg,mod,imgprod,notes
Logo,Product Version,,,,,,,,
Logo,.NET Framework,,,,,,,,
Logo,Server Name,,,,,,,,
Logo,License Key,,,,,,,,
Logo,Documentation,,,,,,,,
Logo,Customer Portal,,,,,,,,
Logo,Contact Support,,,,,,,,
Logo,Logout,,,,,,,,
Dashboard,Site Analytics,Summary,,all,all,all,all,E90,
Dashboard,Site Analytics,Conversions,,all,all,all,all,E90,
Dashboard,Site Analytics,Traffic,,all,all,all,all,E90,
Dashboard,Community Analytics,Answers,,all,all,,all,E90,
Dashboard,Community Analytics,Blogs,,all,all,,all,E90,
Dashboard,Community Analytics,Challenges,,all,all,,all,E90,
Dashboard,Community Analytics,Discussions,,all,all,,all,E90,
Dashboard,Community Analytics,Events,,all,all,,all,E90,
Dashboard,Community Analytics,Ideas,,all,all,,all,E90,
Dashboard,Community Analytics,Wiki,,all,all,,all,E90,
Content,Assets,,,host,adm,cmg,mod,E90,
Content,Pages,Details,,all,all,all,,E91,
Content,Pages,Permissions,,all,all,all,,E91,
Content,Pages,Advanced,Modules,all,all,all,,E91,
Content,Pages,Advanced,Appearance,all,all,all,,E91,
Content,Pages,Advanced,SEO,all,all,all,,E91,
Content,Pages,Advanced,More,all,all,all,,E91,
Content,Forms,,,host,adm,cmg,,E90,
Content,Content Library,Content,,all,all,all,,E91,
Content,Content Library,Content Types,,all,all,all,,E91,
Content,Content Library,Visualizers,,all,all,all,,E91,
Content,Content Library,API Keys,,host,,,,E91,new
Content,Recycle Bin,Pages,,all,all,all,,E91,
Content,Recycle Bin,Modules,,all,all,all,,E91,
Content,Recycle Bin,Users,,all,all,all,,E91,new
Content,Recycle Bin,Templates,,all,all,all,,E91,
Manage,Users,,,host,adm,cmg,mod,E90,
Manage,Roles,,,host,adm,,,E90,
Manage,Templates,,,host,adm,cmg,mod,E90,
Manage,Themes,,,host,adm,,,E90,
Manage,Sites ,Sites,,host,,,,E90,
Manage,Sites ,Site Groups,,host,,,,E90,
Manage,Admin Logs,Admin Logs,,host,adm,,,E90,
Manage,Admin Logs,Log Settings,,host,,,,E90,
Page Analytics,Current Page,,,host,adm,cmg,mod,E90,
Page Analytics,Total Page Views,,,host,adm,cmg,mod,E90,
Page Analytics,Average Time on Page,,,host,adm,cmg,mod,E90,
Page Analytics,Bounce Rate,,,host,adm,cmg,mod,E90,
Settings,Site Settings,Site Info,,all,all,,,E90,
Settings,Site Settings,Site Behavior,Default Pages,host,adm,,,E90,
Settings,Site Settings,Site Behavior,Messaging,host,adm,,,E90,
Settings,Site Settings,Site Behavior,User Profiles,host,adm,,,E90,
Settings,Site Settings,Site Behavior,Site Aliases,host,,,,E90,
Settings,Site Settings,Site Behavior,More,host,,,,E90,
Settings,Site Settings,Language,,host,adm,,,E90,
Settings,Site Settings,Search,Basic Settings,host,adm,,,E90,
Settings,Site Settings,Search,Synonyms,all,all,,,E90,
Settings,Site Settings,Search,Ignore Words,all,all,,,E90,
Settings,Site Settings,Search,Crawling,all,all,,,E90,
Settings,Site Settings,Search,File Extensions,all,all,,,E90,
Settings,Security,Login Settings,Basic Login Settings,host,adm,,,E90,
Settings,Security,Login Settings,Login IP Filters,host,,,,E90,
Settings,Security,Member Accounts,Member Management,host,,,,E90,
Settings,Security,Member Accounts,Registration Settings,host,adm,,,E90,
Settings,Security,Security Analyzer,Audit Checks,host,,,,E90,
Settings,Security,Security Analyzer,Scanner Check,host,,,,E90,
Settings,Security,Security Analyzer,Superuser Activity,host,,,,E90,
Settings,Security,Security Bulletins,,host,,,,E90,
Settings,Security,More,SSL Settings,host,adm,,,E90,
Settings,Security,More,More Security Settings,host,,,,E90,
Settings,Workflow,,,host,adm,cmg,,E90,
Settings,SEO,URL Management,General Settings,host,adm,,,E91,
Settings,SEO,URL Management,Extension URL Providers,host,adm,,,E91,new
Settings,SEO,URL Management,Expressions,host,,,,E91,
Settings,SEO,URL Management,Test URL,host,adm,,,E91,
Settings,SEO,Sitemap Settings,,host,adm,,,E90,
Settings,Community,,,host,adm,,mod,E90,
Settings,Gamification,Actions,,all,all,,all,E90,
Settings,Gamification,Privileges,,all,all,,all,E90,
Settings,Gamification,Badges,,all,all,,all,E90,
Settings,Vocabularies,,,host,adm,,,E91,change
Settings,Connectors,,,host,adm,cmg,mod,E90,
Settings,Extensions,,,host,adm,,,E90,
Settings,Extensions,Installed Extensions,,host,,,,E90,
Settings,Extensions,Available Extensions,,host,,,,E90,
Settings,Servers,System Info,Application,host,adm,,,E90,
Settings,Servers,System Info,Web,host,,,,E90,
Settings,Servers,System Info,Database,host,,,,E90,
Settings,Servers,Server Settings,Web Servers,host,,,,E90,
Settings,Servers,Server Settings,SMTP Server,host,adm,,,E90,
Settings,Servers,Server Settings,Performance,host,,,,E90,
Settings,Servers,Server Settings,Logs,host,,,,E90,
Settings,Scheduler,Task Queue,,host,,,,E90,
Settings,Scheduler,Scheduler,,host,,,,E90,
Settings,Scheduler,History,,host,,,,E90,
Settings,Custom CSS,,,host,adm,,,E90,
Settings,SQL Console,,,host,,,,E90,
Settings,Config Manager,Config Files,,host,,,,E90,
Settings,Config Manager,Merge Scripts,,host,,,,E90,
Settings,About,,,host,,,,E90,
Settings,OnDemand,Account,,host,,,,E91,
Settings,OnDemand,Installations,,host,,,,E91,
Settings,OnDemand,Usage,Summary,host,,,,E91,
Settings,OnDemand,Usage,History,host,,,,E91,
